275,264
264,283
250,306
233,328
219,354
207,379
196,401
185,429
165,452
154,474
134,500
112,508
103,483
101,452
103,424
109,393
118,365
129,337
143,306
160,275
177,244
199,219
216,202
230,177
250,165
266,146
289,129
311,115
334,103
359,98
384,89
410,84
435,84
455,89
472,101
480,115
491,132
497,154
488,177
483,199
466,219
449,244
432,255
410,266
396,283
376,303
351,317
328,331
297,345
266,362
250,370
233,382
247,393
261,401
275,413
280,427
289,441
297,458
303,474
306,494
311,519
311,536
320,559
323,578
317,601
320,618
323,629
320,649
320,668
323,685
337,665
345,646
354,626
365,604
370,590
376,564
384,547
393,528
398,508
410,488
418,469
427,449
432,460
443,460
458,460
474,458
491,449
508,441
519,432
542,418
556,407
567,396
578,379
595,365
612,345
629,328
640,306
654,289
640,283
620,289
604,297
592,311
584,328
581,345
576,362
576,410
578,424
587,441
592,458
595,474
598,497
598,517
601,536
595,561
587,576
578,587
573,592
556,601
539,604
525,609
511,609
497,601
497,590
491,573
497,559
502,573
519,576
531,587
545,590
567,592
587,592
609,581
623,570
637,550
651,531
660,514
674,494
685,472
694,452
705,435
713,415
724,401
730,382
736,365
727,345
719,413
716,443
708,469
705,486
702,505
688,525
682,547
674,570
660,587
679,545
699,517
724,488
736,477
753,474
767,494
772,508
778,525
786,547
792,570
797,590
812,604
820,595
837,590
848,584
862,567
876,550
885,531
890,508
896,488
893,469
887,455
871,443
854,452
842,458
837,466
831,483
828,505
834,519
842,533
859,531
868,519
885,505
893,500
893,525
901,547
913,564
924,564
935,553
952,533
963,514
972,483
977,466
977,446
977,432
986,477
994,488
1005,488
1017,486
1028,477
1036,463
1042,452
1053,435
1045,460
1031,491
1031,514
1028,533
1031,553
1034,567
1048,561
1067,539
1078,531
1090,517
1093,502
1101,477
1118,460
1140,460
1154,474
1157,497
1154,517
1152,525
1146,545
1168,500
1174,483
1185,466
1202,452
1222,441
1227,449
1230,460
1239,474
1236,494
1236,508
1230,519
1222,531
1222,547
1236,525
1241,508
1250,488
1255,477
1264,460
1275,446
1289,438
1303,427
1315,432
1326,452
1326,466
1323,483
1317,497
1315,514
1309,531
1303,553
1303,564
1315,578
1334,578
1348,570
1365,561
1374,547
1390,528
1404,514
1416,497
1427,480
1430,463
1430,449
1413,438
1390,441
1374,452
1368,466
1357,477
1357,494
1362,511
1362,519
1379,525
1399,514
1418,497
1430,486
1424,500
1424,525
1430,542
1447,539
1461,531
1469,517
1477,508
1486,497
1494,488
1497,474
