5,62
11,56
17,52
23,47
29,40
35,35
41,31
47,26
53,20
62,9
52,23
49,30
41,36
36,44
33,49
31,57
26,64
24,70
23,76
26,81
27,87
30,88
36,87
41,84
47,81
51,78
57,75
60,73
65,73
65,78
64,86
60,90
59,98
56,105
56,114
54,122
59,128
65,123
69,117
75,111
81,104
87,97
92,92
97,83
102,76
108,69
113,61
118,54
123,48
128,41
133,35
138,29
143,24
147,19
153,15
153,20
150,30
145,39
139,47
135,53
133,59
130,69
128,78
124,87
123,93
125,100
129,105
134,107
141,109
148,108
155,108
164,108
174,105
182,102
190,100
201,98
211,93
219,91
228,88
237,84
246,81
253,79
261,77
267,74
275,73
281,70
284,79
288,88
292,98
299,94
302,81
304,73
308,64
313,54
320,45
324,35
329,29
337,24
340,27
340,35
340,41
337,50
333,60
332,71
329,78
328,87
331,96
337,91
342,84
345,75
349,67
351,58
354,50
359,43
361,50
363,59
365,67
365,75
367,84
368,93
371,102
375,111
380,119
388,122
396,123
406,121
413,116
422,113
432,109
442,104
452,98
459,92
467,87
476,82
482,75
491,69
500,64
509,55
519,50
526,43
532,38
542,35
551,30
560,25
568,22
581,19
590,18
600,15
610,15
616,12
625,9
633,6
